标题,地址,小区,户型,面积,楼层,月租,出租类型,朝向,有无电梯,地铁
麦田推荐 清河地铁站 南北通透 2室1厅  当代城市家园,海淀-上地 安宁庄西路9号,当代城市家园,2室1厅,99平米,中层(共10层),9300,整租,南北,有,13号线
S1沿线，次新小区，环境好居住舒适，东西齐全，看房方便,门头沟-永定 龙林路,云翔嘉苑,3室1厅,82平米,低层(共15层),4200,整租,朝南,有,S1线
西城 月坛 三里河 三里河北街3号院 水科院 中楼层 1居室,西城-月坛 三里河北街3号,三里河北街3号院,1室1厅,39平米,中层(共18层),6100,整租,东北,无,1/16号线
甘家口 中海馥园 精装大两居室 随时看房 人车分流 品质小区,海淀-增光路 增光路37号,中海馥园,2室1厅,94.3平米,中层(共18层),13800,整租,朝东,有,6/9号线
水木兰亭别墅豪华装修家私齐全临湖景观位置 看房有钥匙,顺义-天竺 府前一街58号,水木兰亭花园(别墅),4室3厅,178平米,共5层,12000,整租,南北,有,15号线
前门附近临街豪装四合院 交通便利 办公会所接待 四合院出租,西城-大栅栏 樱桃斜街,铁树斜街胡同小区,2室6厅,420平米,共1层,183000,整租,南北,无,7号线
椿树园小区，两居室，电梯直达，家具电器齐全，可长租，宣武门,西城-宣武门 椿树园17号,椿树园奥运社区,2室2厅,78.6平米,中层(共17层),12500,整租,东南,有,2/7号线/4号线大兴线
地6线 北关新光大中心南向高双层房间视野很好 阳光充足,通州-北关 滨惠北一街3号,新光大中心,1室1厅,43平米,高层(共29层),5200,整租,西南,有,6号线
亲，还在辛苦寻找吗，这就是您温暖的家，侨商中心东北双朝向复式,通州-北关 新华北路,世界侨商中心,1室1厅,52平米,中层(共19层),4780,整租,东北,有,6号线
成寿寺地铁精装大开间 包物业取暖 设施齐全 交通便利 可月付,丰台-成寿寺 钟萃路1号,恒悦城(钟萃路1号),1室0厅,51平米,中层(共26层),4500,整租,朝南,有,10号线
C21保真 东坝福润四季精装两居出租 明厨明卫户型 随时看房,朝阳-东坝 管庄路,北京城建福润四季B区,2室1厅,75平米,高层(共21层),5200,整租,南北,有,无
品质生活！两家合住！国贸双井富力广场广渠路46号电梯正规卧室,朝阳-双井 广渠路46号,广渠路46号小区,2室1厅,18平米,低层(共18层),2800,合租,朝北,有,7/10/14号线
果岭里此房我是业主委托人，跟我租房有优惠！诚意出租 欢迎看房,朝阳-望京 广泽路6号,CLASS果岭里,4室2厅,286平米,高层(共6层),44000,整租,南北,有,14/15号线
两居室找室友 朝南包物业取暖 106国道旁 图片真实,大兴-庞各庄 106国道,空港荣苑2号院,2室1厅,5平米,中层(共15层),799,合租,朝南,有,无
热推！西局玉园 全南一居室 西局地铁站10.14号线恒泰金塘,丰台-丽泽桥 西局南街138号,西局玉园(南区),1室1厅,55平米,低层(共27层),5800,整租,朝南,有,9/10/14号线
有钥匙随时看 随时入住 家具家电齐全  两居室,昌平-北七家 天权路2号,金色漫香苑,2室1厅,88平米,低层(共8层),4700,整租,南北,有,无
物业直租！富力运河十号！高层三居看河景！随时看房家具全齐！,通州-新华大街 江米店街2号,富力运河十号小区,3室2厅,151平米,中层(共30层),11500,整租,南北,有,6号线
S1地铁石厂 2居 干净整洁的家具齐全 有钥匙看房方便,门头沟-永定 石园南路,石门营新区(六区),2室1厅,63平米,高层(共14层),3300,整租,南北,有,S1线
金融街 西二环 品质1居 板楼洋房 带阳台 家具齐全,海淀-交通大学 高粱桥斜街59号,长河湾小区,1室1厅,67.5平米,低层(共20层),11000,整租,南北,有,2/13号线/4号线大兴线
我爱我家相寓 广安门京铁和园高楼层1居室,西城-广安门外 广安门车站西街2号院,京铁和园,1室1厅,37平米,高层(共28层),4500,整租,朝东,无,7/14号线
丽泽桥 天街 地铁丽泽商务区 万泉盛景园 配套齐全 随时入住,丰台-丽泽桥 柳村路6号,万泉盛景园,1室1厅,60平米,低层(共28层),4899,整租,朝南,有,10/14号线/房山线
永辉超市附近 可短组2 3个月真实照片 真实价格 随时入住,丰台-角门 马家堡路,西马金润家园,3室1厅,16平米,高层(共6层),1616,合租,朝北,无,8/10号线/8号线南段/4号线大兴线
清河学而思 快手 小米 橡林郡南北向两居，精装修，手次出租,海淀-清河 毛纺路,橡林郡,2室2厅,94平米,低层(共6层),10000,整租,南北,有,无
中关村 国际公寓 一室一厅带衣帽间 业主婚房装修 看房基本随,海淀-苏州街 海淀中街15号,远中悦莱,1室1厅,59平米,低层(共19层),9200,整租,朝西,无,10/16号线/西郊线/4号线大兴线
中关村 苏州街温馨一居室 租户刚搬走看房基本随时 私聊有视频,海淀-苏州街 海淀南路1-17号,海淀南路小区,1室1厅,38平米,高层(共12层),6500,整租,朝南,无,10号线/西郊线/4号线大兴线
大望路 国贸 好房推荐 可看房 2室1厅  SOHO现代城,朝阳-CBD 建国路88号,SOHO现代城,2室1厅,104.4平米,中层(共32层),12000,整租,朝东,有,1/7/10/14号线/八通线
art park 能看河 高端 平层 提包入住 新光大9B,通州-北关 滨惠北一街3号,新光大中心,1室1厅,97平米,高层(共41层),9999,整租,朝西,有,6号线
C21保真！望京酒仙桥 东坝利锦府精装复式 上下双卫随时可看,朝阳-东坝 东坝中街,利锦府,1室1厅,53平米,低层(共10层),6000,整租,朝北,有,无
四号线 生物医药基地 一月起租2800 无中介费  免费停车,大兴-生物医药基地 庆祥南路29号,i立方小区,3室1厅,65平米,高层(共12层),2800,整租,朝西,有,4号线大兴线
万科翡翠公园下叠出租,昌平-北七家 卓兴路6号,翡翠公园(卓兴路6号院),4室3厅,180平米,共4层,18000,整租,南北,无,无
双层一居特殊户型 家私齐全 随时看房 随时起租 采光棒,朝阳-酒仙桥 驼房营路,丽都壹号,1室1厅,42.1平米,共5层,7900,整租,朝东,有,无
十里堡 盒马生鲜 1号线四惠地铁 3室2厅  东恒时代三期,朝阳-四惠 十里堡甲3号,东恒时代三期,3室2厅,134平米,中层(共27层),13000,整租,东南,有,1号线/八通线
精装修两居室，价格可谈，诚心出租,海淀-清河 学府树北街,橡树湾(一期),2室2厅,89平米,高层(共18层),10500,整租,西南,有,13号线
好房推荐 精美一居室 随时看房 楼下就是公交超市 拎包住,门头沟-城子街道 七棵树东大街,九龙东苑3号地,1室1厅,50平米,高层(共28层),2600,整租,朝南,有,无
望京酒仙桥来广营康营家园精装修正规主卧带卫生间随时看房,朝阳-孙河 康营家园中街,康营家园(25期),3室1厅,15平米,高层(共11层),2700,合租,朝南,有,15号线
地铁六号线青年路姚家园西里直达三里屯朝阳公园大悦城惠通时代,朝阳-姚家园 姚家园西里1号,姚家园西里一号院,3室1厅,25平米,高层(共6层),2388,合租,朝南,无,无
京旺家园精装两居室近望京酒仙桥大山子草场地798可空房,朝阳-朝阳周边 金港南路,京旺家园七区,2室1厅,80平米,中层(共11层),5000,整租,南北,有,无
国贸双井大望路 百子湾沿海赛洛城高层朝南精装修开间 拎包就住,朝阳-百子湾 广渠东路33号,沿海赛洛城(南区),1室1厅,49平米,高层(共14层),5500,整租,朝南,有,7号线
实图 实价七里庄 六里桥 西局 丽泽景园 西局玉园精装一居室,丰台-丽泽桥 西局南街138号,西局玉园(南区),1室1厅,55平米,中层(共9层),5700,整租,朝南,有,9/10/14号线
精装修 青春志 富水良嘉园 1室1厅1卫 41平 电梯房,房山-良乡 昊天大街,富水良嘉园,1室1厅,41.1平米,中层(共14层),2750,整租,南北,有,房山线
燕语清园 2室1厅1卫 配套齐全 精装修 南北通透,海淀-清河 清河毛纺路26号,燕语清园,2室1厅,58平米,中层(共28层),6200,整租,朝南,有,无
C21保真 东坝福润四季精装两居出租 明厨明卫户型 随时看房,朝阳-东坝 管庄路,北京城建福润四季B区,2室1厅,75平米,高层(共21层),5200,整租,南北,有,无
新出！价低低！楼层高视野好，随时看房一居室，中信沁园,西城-陶然亭 菜市口大街甲2号,中信沁园(中信城二期),1室1厅,65.8平米,高层(共23层),10000,整租,朝西,有,2/7/19号线/4号线大兴线
西城 月坛 三里河 三里河北街3号院 水科院 中楼层 1居室,西城-月坛 三里河北街3号,三里河北街3号院,1室1厅,39平米,中层(共18层),6100,整租,东北,无,1/16号线
合生世界花园 复式一居室 家具家电齐全 随时入住,通州-马驹桥 景盛北一街甲12号,合生世界花园,1室1厅,58平米,低层(共12层),3300,整租,朝北,有,无
超低价三居室 十里堡京棉新城高楼层东南向采光无遮挡,朝阳-十里堡 朝阳路,京棉新城(一厂),3室1厅,83平米,高层(共28层),6700,整租,东南,有,6号线
（上新必看头次出租婚房两居）南北通透！高层观景！有钥匙房源！,"海淀-清河 清河中街,近朱房北一街",橡树湾红橡庭院(二期),2室2厅,91.3平米,高层(共12层),10666,整租,南北,有,13号线
水木兰亭别墅豪华装修家私齐全临湖景观位置 看房有钥匙,顺义-天竺 府前一街58号,水木兰亭花园(别墅),4室3厅,178平米,共5层,12000,整租,南北,有,15号线
海淀 双榆树 中航广场 字节 头条房补范围之内 交通方便,海淀-双榆树 中关村东路,青云北小区(青云北区),2室1厅,51平米,中层(共6层),7300,整租,南北,无,10/13号线/4号线大兴线
双井 西大望路  首城国际复式102平米 随时看房 可办照,朝阳-双井 广渠路36号,首城国际(公寓住宅),2室1厅,88.6平米,低层(共16层),8800,整租,朝北,有,7/10/14号线
（精选）急租 亚运村 慧忠北里 有电梯 地铁5号线15号线,朝阳-亚运村 安立路,慧忠北里第二社区,2室1厅,80平米,高层(共9层),8200,整租,南北,有,5/8/15号线
望京 姚家园 达美中心 （首开常青藤）精装三居室 可随时入住,朝阳-东坝 东坝中街12号,首开常青藤(D区),3室1厅,91平米,中层(共6层),8500,整租,南北,有,无
土桥地铁八通线 华远铭悦三居室 挨着迪卡侬商业街 家电齐全,通州-土桥 土桥中街,华远铭悦园(南区),3室1厅,91.2平米,中层(共28层),4700,整租,南北,有,八通线
押一付一全女生合租南向次卧室亚林西地铁14号线随时看房,丰台-右安门 西铁营中路9号,亚林西居住区,3室1厅,12平米,高层(共29层),2300,合租,朝南,有,14号线
我爱我家相寓 西坝河太阳星城土星园高楼层3居室次卧1,朝阳-太阳宫 太阳宫南街,圣馨家园,3室1厅,18平米,高层(共13层),3400,合租,朝南,无,10/13号线
精装两居室，看房方便，价格可谈,"海淀-清河 毛纺路,近朱房路",橡树湾(四期),2室1厅,81平米,中层(共19层),11300,整租,南北,有,13号线
精装南向带电梯超大主卧五道口近地铁优盛大厦语言展春地质大学,海淀-五道口 成府路20号,成府路20号院,3室1厅,15平米,低层(共12层),3300,合租,朝南,有,13/15号线
宋家庄地铁旁，首开福茂，鲁能美高梅，精装南向一居室可月租,丰台-刘家窑 榴乡路,鲁能钓鱼台美高梅公馆,1室1厅,52平米,高层(共18层),6800,整租,南北,有,5/10号线/亦庄线
七里庄 西局 金堂 东大街六号院二层两居随时看房,丰台-七里庄 东大街6号,东大街6号院,2室1厅,64平米,共5层,5600,整租,南北,无,9/10/14号线
两居室找室友 朝南包物业取暖 106国道旁 图片真实,大兴-庞各庄 106国道,空港荣苑2号院,2室1厅,5平米,中层(共15层),799,合租,朝南,有,无
可月付 紧邻地铁 正规南向一居室 首ci出租 拎包住 嘎嘎好,门头沟-永定 紫金北路,石门营新区(五区),1室1厅,44.5平米,高层(共6层),2998,整租,朝南,有,S1线
中海御景春天 1室1厅1卫 C21,丰台-科技园区 丰葆路98号,中海御景春天,1室1厅,48.3平米,中层(共25层),4500,整租,朝东,有,9号线/房山线
永兴嘉园 3室1厅1卫 138平 南北通透 电梯房,门头沟-永定 石担路,永兴嘉园,3室1厅,138平米,高层(共14层),5700,整租,西南,有,S1线
新！精装修！家具家电齐全！南北落地阳台！餐厨一体！供暖十足！,海淀-四季青 彰化南路,颐慧佳园,2室1厅,117.1平米,低层(共9层),11000,整租,南北,有,6/10号线
椿树园小区，两居室，电梯直达，家具电器齐全，可长租，宣武门,西城-宣武门 椿树园17号,椿树园奥运社区,2室2厅,78.6平米,中层(共17层),12500,整租,东南,有,2/7号线/4号线大兴线
北新桥簋街附近 交通便利门口车位 办公会所接待 四合院出租,西城-大栅栏 樱桃斜街,铁树斜街胡同小区,2室4厅,350平米,共1层,130000,整租,南北,无,7号线
拐角大飘窗 初次出租 全屋定制 富力C区精装修全南向两居室,朝阳-豆各庄 黄厂南里3号,富力又一城(C区),2室2厅,86.7平米,高层(共21层),6600,整租,朝南,有,7号线
酒仙桥姚家园七棵树创意园恒大广场 佳品东坝家园精装修主卧阳台,朝阳-东坝 东坝中路,东坝家园B区,2室1厅,25平米,共4层,2000,合租,朝南,无,无
紫金长安 客厅双卧南 落地阳台 高楼层 视野好 新装修,海淀-五棵松 西翠路17号,紫金长安,4室2厅,198平米,中层(共18层),27000,整租,南北,有,1号线
六号 线通州北关新光大 精装开间 燃气 地暖 新风 随时入住,通州-北关 滨惠北一街3号,新光大中心,1室0厅,47平米,中层(共41层),4400,整租,西北,有,6号线
可月付 金台路地铁 朝阳公园 团结湖水碓子东里电梯楼次卧,朝阳-团结湖 甜水园街,水碓子东里,3室1厅,15平米,低层(共19层),2100,合租,朝北,有,6/10/14号线
马家堡地铁口 嘉园一里 两居室 62平米 随时看有钥匙,丰台-马家堡 角门北路,嘉园一里,2室1厅,62平米,高层(共18层),5300,整租,西南,有,10号线/4号线大兴线
金星园 西南 精装修1室1厅 保持好  看房方便 随时起租,朝阳-太阳宫 太阳宫南街,金星园,1室1厅,44.1平米,低层(共12层),8000,整租,朝南,有,10号线/首都机场线
玉皇庄小区中间楼层精装两居室2900南北通透有阳台家具齐全,丰台-长辛店 二七厂路,玉皇庄小区,2室1厅,61.5平米,中层(共6层),2900,整租,南北,无,无
（上新必看头次出租婚房两居）南北通透！高层观景！有钥匙房源！,"海淀-清河 清河中街,近朱房北一街",橡树湾红橡庭院(二期),2室2厅,91.3平米,高层(共12层),10666,整租,南北,有,13号线
精装两居室，看房方便，价格可谈,"海淀-清河 毛纺路,近朱房路",橡树湾(四期),2室1厅,81平米,中层(共19层),11300,整租,南北,有,13号线
镶黄旗万树园 精装一居 实房实图 跟业主签约 配套全齐 长租,海淀-马连洼 厢黄旗路,万树园,1室1厅,55平米,低层(共6层),5400,整租,朝北,无,16号线
